gene,pearson_r,n_spots
HEXA,0.16210267197585124,387
TRRAP,0.1620919278132387,387
SERPINA1,0.1618454893070202,387
UBR1,0.16181381321433283,387
FOXM1,0.1615045645535118,387
SNRNP35,0.16128510422968734,387
MIEN1,0.1607880356338461,387
THEM6,0.16070266989292512,387
RASSF3,0.16014061920829417,387
DCUN1D2,0.16006385148147279,387
SAMD5,0.15996748917169923,387
RAB24,0.1598200326015639,387
KDM3A,0.1596175530570447,387
POP1,0.1593086541132839,387
PTPRN2,0.15916554767989086,387
YTHDF1,0.15914650129136446,387
SLC26A2,0.15868109726983518,387
CCDC115,0.15843290100068624,387
PCK2,0.157870244962485,387
TMBIM1,0.1578065966890667,387
RMND1,0.1575769181900797,387
CSF1,0.15731343087684935,387
HOOK1,0.1572878629710039,387
RGMA,0.15666410242844045,387
USP53,0.15648589626281673,387
RCAN2,0.15635942365084737,387
DPP4,0.1560579030538282,387
ZC3H12C,0.15548676161356723,387
ALDOC,0.1552785084553594,387
GPSM2,0.15518528096622272,387
PTPRM,0.15511095456836174,387
CCNB1,0.15502296695213963,387
UQCC1,0.1547233631317202,387
GEMIN8,0.15448787791899535,387
DIMT1,0.15389802713920941,387
STXBP5,0.15355478858479413,387
OCRL,0.1535416348593499,387
FITM2,0.15332147129485954,387
PHF2,0.1532500792582095,387
ANTXR2,0.15271955192976364,387
TJP3,0.15267864683953797,387
EPM2AIP1,0.15260164347927518,387
COQ8A,0.15243234683966278,387
C5orf34,0.1524000168457045,387
ANKRD44,0.1522777549098808,387
AREG,0.1521933862061698,387
RIPK4,0.15177423849400315,387
RNF111,0.15163035213945267,387
PSMB5,0.15159046826087072,387
KLHDC10,0.1515821305502548,387
KCTD17,0.15157258727142006,387
BIK,0.1515625768092997,387
SERINC5,0.15133852526670802,387
DDIT3,0.15119689727525412,387
TENT2,0.1508259377525315,387
CHCHD3,0.15081570202740338,387
CALD1,0.15073764893220076,387
DTYMK,0.15060927687662445,387
ALDH1B1,0.1505365805315413,387
SRSF10,0.1505331457427459,387
RAB12,0.15031603500988167,387
PRSS23,0.1499160055525726,387
TC2N,0.14967237624896912,387
ZZEF1,0.14961645791040765,387
FAAH2,0.14933862264005435,387
FFAR4,0.14916533612713814,387
VBP1,0.14906848643616014,387
AGT,0.149020188517418,387
SBNO1,0.14865907551045812,387
MRPL13,0.1482704472853346,387
GPR160,0.1481214083863959,387
GCHFR,0.14783848464489124,387
LY6E,0.1475697086783119,387
RFC2,0.1475278205685425,387
NOS2,0.14724971692060124,387
C19orf33,0.14719477052174482,387
FBLN5,0.1471677693102344,387
LARGE2,0.14698470026659283,387
ARG2,0.14691135598390584,387
ENC1,0.1467431562846861,387
DPY19L1,0.14667827983663606,387
MACO1,0.14654669564640735,387
CDS2,0.1463696080942807,387
VDR,0.14602841734504093,387
HIVEP2,0.14559988133300772,387
HBS1L,0.14546273883871375,387
DDT,0.14519988236494308,387
MOB3C,0.14461640879591203,387
ECH1,0.14458234207220438,387
DDX20,0.14409253569687064,387
METTL5,0.14401559791006446,387
POU2F1,0.14396038041431958,387
SP4,0.1437765422998543,387
PRDM6,0.14358191276061663,387
SPRY2,0.14352432274073212,387
CERS4,0.14342437912535913,387
ZMYND19,0.14276335097921944,387
SLC25A38,0.14263365406736583,387
QRICH1,0.14259667363171952,387
SYCE1L,0.14256996115568413,387
HFE,0.14203255069445947,387
FZD10,0.14189197967017148,387
TFPI2,0.14185047247963925,387
SPINT1,0.14180718983870905,387
KPNA3,0.14169782577363302,387
HLCS,0.1413783721107047,387
RGS2,0.1410813619221052,387
TIMP2,0.14104773152349856,387
CLHC1,0.14085231657703562,387
NPIPB15,0.14084814527001263,387
FAM221A,0.14081928086125386,387
BSDC1,0.14066911001581942,387
PDCD2,0.14064369768004106,387
IFT52,0.14062446717141924,387
CNTRL,0.1405965697598662,387
NTN1,0.14057183787636504,387
ORC3,0.14045923727603818,387
IQGAP3,0.14033328706435247,387
GATB,0.14030994066692043,387
PAFAH1B3,0.1401475732045654,387
LRG1,0.140076357500069,387
UBL7,0.13999932050953254,387
