dataset_id,technology,organ,target_gene,n_types,n_ligands,type_feat_pearson,ridge_silly_coef_pearson,ridge_silly_coef_cosine,ridge_abund_coef_pearson,ridge_abund_coef_cosine
mouse_brain_slideseqv2,SlideSeqV2,brain,Aldoa,4,3,0.9868557770982411,0.9393740896290125,0.5709278575566051,-0.9751101418000577,0.9532407831802194
mouse_brain_slideseqv2,SlideSeqV2,brain,Tmsb4x,4,3,0.9868557770982411,0.99591277859464,0.9695676497137186,,0.8954275878262151
mouse_brain_slideseqv2,SlideSeqV2,brain,Cox4i1,4,3,0.9868557770982411,0.9857386412803393,0.9970710655570422,,0.9391597467375101
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Ppp3ca,12,10,0.774920818834892,0.9577810498543888,0.9423771256951824,-0.07608075830699806,-0.07794441707185533
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Olfm1,12,10,0.774920818834892,0.9779640227480981,0.9718831377970838,-0.04240874830199967,-0.032497410723739587
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Atp1b1,12,10,0.774920818834892,0.8194765410957325,0.8226847947903723,,0.21832094728441753
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Ncdn,12,10,0.774920818834892,0.9776795857790235,0.9722397338155324,,0.050935773467446044
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Ttr,12,10,0.774920818834892,0.7685770264037395,0.7456135470663038,-0.060305058681313944,0.06492660209689448
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Map1b,12,10,0.774920818834892,0.8539003129559668,0.8427415224603734,,0.2591663079900128
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Nrgn,12,10,0.774920818834892,0.9163992665948204,0.9115000803140896,,-0.07014740397819463
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Snhg11,12,10,0.774920818834892,0.40992871347924487,0.38835411785904816,,-0.030876947085190152
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Mobp,12,10,0.774920818834892,0.731422540334203,0.7241676063944114,,-0.02622626489370068
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Thy1,12,10,0.774920818834892,0.8827954277659942,0.8818240140217282,,0.20435376795268775
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Qdpr,12,10,0.774920818834892,0.8823454488663143,0.8798265097096062,,-0.0044871203623386615
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Itm2c,12,10,0.774920818834892,0.26155569281487495,0.21018048833825836,,0.840653638500874
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Gabbr1,12,10,0.774920818834892,0.686640751215631,0.7942492723354827,,0.6427241192843511
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Atp1a3,12,10,0.774920818834892,0.859912028246764,0.854743595307252,,-0.06741064105359199
mouse_hippocampus_slideseqv2,SlideSeqV2,hippocampus,Syt1,12,10,0.774920818834892,0.7867873658067921,0.7856105123391955,,-0.05029566287499017
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Cox6a1,8,7,0.6919269396336707,0.8554550072524749,0.8703827723602849,,-0.33449920501559055
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Mobp,8,7,0.6919269396336707,0.7508820451296265,0.7438311758259927,,0.7595928234310387
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Ttr,8,7,0.6919269396336707,0.4829025069939766,0.4802351335907535,-0.12764401393206126,-0.012857542927627417
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Qdpr,8,7,0.6919269396336707,0.8097247073523806,0.7749816937327615,,0.683392280711269
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Cmss1,8,7,0.6919269396336707,0.8432910961409609,0.8097988487505239,0.07221997529501206,0.421636828230776
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Ddn,8,7,0.6919269396336707,0.9501778050755865,0.932035953104756,,-0.026838739593637778
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Dbi,8,7,0.6919269396336707,0.9378514943999594,0.7166646746657358,,0.3979355501156914
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Pea15a,8,7,0.6919269396336707,0.9375933136007744,0.9282865563047711,,0.45265246926998876
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Uqcrh,8,7,0.6919269396336707,-0.38189881221547556,0.8795234265943255,,0.934256745003588
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Mal,8,7,0.6919269396336707,0.8971980378275861,0.9299731221454604,,0.5794578446962221
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Kif1a,8,7,0.6919269396336707,0.9378019734149436,0.5402332416443761,,0.3806338459091663
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Camk1d,8,7,0.6919269396336707,0.43379791768419024,0.6620750189300204,,0.587184146527696
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Nudt3,8,7,0.6919269396336707,0.9393409205111849,0.877773027240187,,-0.1633546167659346
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Fkbp8,8,7,0.6919269396336707,-0.13236315447199715,0.8689125920061754,,0.9344941594670945
mouse_brain_slideseqv2_regions,SlideSeqV2,brain,Mapk8ip1,8,7,0.6919269396336707,0.967901398917437,0.6595616465204215,0.5495429354319297,0.6188374174172505
